               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030451,            0.026329,           0.0031089,              0.7819,              0.6203,              0.6666,             0.32696,            0.037345,            0.022219,           0.0058868,           0.0057925,           0.0057925,           0.0057925
                  36,            0.032111,            0.027252,           0.0030852,             0.68082,             0.73564,             0.69092,             0.36356,            0.035283,            0.021648,           0.0053921,           0.0056688,           0.0056688,           0.0056688
                  37,            0.030781,            0.027011,           0.0028747,             0.71405,             0.72348,             0.71388,             0.37763,            0.034001,            0.021281,           0.0050989,            0.005545,            0.005545,            0.005545
                  38,            0.029785,            0.025938,           0.0027943,              0.6545,             0.71346,              0.6882,             0.36448,              0.0346,            0.021584,           0.0048161,           0.0054212,           0.0054212,           0.0054212
                  39,            0.030071,            0.025995,           0.0027583,             0.68919,             0.65258,             0.65065,             0.35768,            0.034038,            0.022224,           0.0055188,           0.0052975,           0.0052975,           0.0052975
                  40,            0.030045,             0.02556,            0.002819,             0.78114,              0.7143,             0.73891,             0.40096,             0.03256,            0.021451,           0.0052262,           0.0051737,           0.0051737,           0.0051737
                  41,             0.02946,            0.025352,            0.002733,             0.77386,             0.69831,             0.73979,             0.39053,            0.034202,            0.022512,           0.0047175,             0.00505,             0.00505,             0.00505
                  42,            0.030207,            0.025375,           0.0025204,             0.78918,             0.64762,             0.70873,             0.40233,            0.032498,            0.021395,           0.0050576,           0.0049263,           0.0049263,           0.0049263
                  43,            0.029387,            0.024793,           0.0025375,             0.74949,             0.62404,             0.67679,              0.3813,            0.032305,            0.021365,           0.0051734,           0.0048025,           0.0048025,           0.0048025
                  44,            0.029353,            0.025103,           0.0023108,             0.72819,             0.65718,             0.68609,             0.39812,            0.031368,            0.021803,           0.0064449,           0.0046788,           0.0046788,           0.0046788
                  45,             0.02867,            0.024799,           0.0024993,             0.68816,             0.66691,             0.67754,             0.39853,            0.031808,            0.021687,           0.0064774,            0.004555,            0.004555,            0.004555
                  46,            0.028474,            0.024572,           0.0021851,             0.68072,             0.63102,             0.66161,             0.38322,             0.03252,            0.021881,           0.0059842,           0.0044313,           0.0044313,           0.0044313
                  47,            0.028022,            0.025196,           0.0021762,             0.68571,             0.70155,             0.70399,             0.38935,            0.033323,            0.021689,           0.0056972,           0.0043075,           0.0043075,           0.0043075
                  48,            0.027456,            0.024935,            0.001986,             0.73062,              0.7105,             0.71306,             0.39936,            0.032164,             0.02157,           0.0055216,           0.0041837,           0.0041837,           0.0041837
                  49,            0.028097,            0.024754,           0.0021241,             0.75549,             0.69377,             0.71275,             0.40513,            0.031782,            0.021461,           0.0055426,             0.00406,             0.00406,             0.00406
                  50,            0.026909,            0.023817,            0.001981,             0.77761,             0.71489,             0.72995,             0.38338,            0.035761,            0.022034,           0.0052664,           0.0039362,           0.0039362,           0.0039362
                  51,            0.026788,            0.024002,           0.0019789,             0.75847,             0.70309,             0.71532,             0.41333,            0.032796,            0.022059,           0.0065756,           0.0038125,           0.0038125,           0.0038125
                  52,            0.026324,            0.023295,           0.0019944,             0.69882,             0.70479,             0.68434,             0.36654,            0.034028,             0.02275,           0.0061977,           0.0036888,           0.0036888,           0.0036888
