               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026478,            0.023442,           0.0021071,              0.7773,             0.73339,             0.73118,             0.43954,            0.029839,            0.021559,           0.0048362,           0.0071125,           0.0071125,           0.0071125
                  37,            0.026471,            0.022833,           0.0021281,             0.80356,             0.68656,              0.7216,             0.41248,            0.031475,            0.021817,           0.0056237,             0.00703,             0.00703,             0.00703
                  38,            0.026296,            0.022167,            0.001978,             0.86669,             0.70076,              0.7562,             0.44054,            0.031418,            0.021349,           0.0049691,           0.0069475,           0.0069475,           0.0069475
                  39,            0.026139,            0.023163,           0.0019156,             0.82917,             0.70594,             0.74071,             0.45145,            0.029245,            0.021573,           0.0050717,            0.006865,            0.006865,            0.006865
                  40,             0.02615,             0.02225,            0.001829,             0.79983,             0.67377,             0.73177,             0.43744,            0.031435,             0.02191,           0.0045766,           0.0067825,           0.0067825,           0.0067825
                  41,            0.025942,            0.022307,           0.0017399,             0.77538,             0.73597,              0.7439,             0.42729,            0.031532,            0.021929,           0.0051678,              0.0067,              0.0067,              0.0067
                  42,             0.02503,            0.021527,           0.0017865,             0.88155,             0.69211,             0.74697,             0.44676,            0.031508,            0.022324,           0.0053546,           0.0066175,           0.0066175,           0.0066175
                  43,            0.025038,            0.021792,           0.0016963,             0.83503,             0.74524,             0.76722,             0.45292,            0.030755,            0.021413,           0.0048595,            0.006535,            0.006535,            0.006535
                  44,            0.025219,            0.021759,           0.0017913,             0.85554,             0.71051,             0.77264,             0.43087,            0.034869,             0.02227,           0.0044031,           0.0064525,           0.0064525,           0.0064525
                  45,            0.025216,             0.02198,           0.0017402,             0.88695,             0.68666,             0.73931,             0.42541,            0.033256,            0.021656,           0.0051488,             0.00637,             0.00637,             0.00637
                  46,            0.025291,             0.02209,           0.0018478,             0.70295,              0.7076,             0.70251,             0.37615,            0.037929,            0.022789,            0.005281,           0.0062875,           0.0062875,           0.0062875
