               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047631,            0.041919,            0.010553,              0.7194,             0.30277,             0.33592,             0.13445,            0.055192,            0.029826,            0.010266,            0.008812,            0.008812,            0.008812
                  38,            0.048222,            0.044175,             0.01123,             0.79799,             0.33191,              0.3704,             0.12484,            0.054582,            0.025846,            0.008681,            0.008779,            0.008779,            0.008779
                  39,            0.047035,            0.040699,            0.011031,             0.86955,             0.41414,             0.47203,             0.21589,            0.044603,            0.027841,           0.0079189,            0.008746,            0.008746,            0.008746
                  40,            0.047979,            0.043351,            0.010633,             0.82745,                0.44,             0.46903,             0.19723,            0.043924,            0.026544,           0.0090293,            0.008713,            0.008713,            0.008713
                  41,            0.046872,            0.040983,            0.010595,             0.77245,              0.3276,             0.34408,            0.095838,            0.057774,            0.038192,            0.010407,             0.00868,             0.00868,             0.00868
                  42,            0.045727,            0.043076,            0.010294,             0.86874,             0.43758,             0.51383,             0.21849,            0.045057,            0.026867,           0.0086662,            0.008647,            0.008647,            0.008647
                  43,             0.04599,            0.040786,            0.010139,             0.54392,             0.38591,             0.41236,             0.18698,            0.048933,            0.029327,           0.0093183,            0.008614,            0.008614,            0.008614
                  44,            0.046943,            0.040341,            0.010429,             0.84714,             0.43838,             0.51378,             0.25143,            0.042102,            0.025003,           0.0081859,            0.008581,            0.008581,            0.008581
                  45,            0.046422,            0.042138,            0.010211,             0.85454,             0.40413,             0.47721,             0.21688,            0.045395,            0.026147,           0.0081336,            0.008548,            0.008548,            0.008548
                  46,             0.04617,            0.041574,            0.010593,             0.69428,             0.41732,             0.43768,             0.17432,            0.049212,            0.026014,            0.008741,            0.008515,            0.008515,            0.008515
                  47,             0.04671,            0.040649,            0.010619,             0.86626,             0.42095,             0.49679,             0.23038,            0.042966,            0.025994,           0.0073516,            0.008482,            0.008482,            0.008482
                  48,            0.046586,            0.041166,           0.0097723,             0.81455,             0.41701,             0.44636,             0.19532,            0.043881,            0.025842,           0.0096953,            0.008449,            0.008449,            0.008449
                  49,            0.046471,            0.041666,            0.010125,             0.49297,             0.45288,             0.45654,             0.20577,            0.045343,            0.027199,           0.0085267,            0.008416,            0.008416,            0.008416
                  50,             0.04628,            0.040101,           0.0096922,             0.84042,             0.38218,             0.43603,             0.18647,            0.048811,             0.02717,            0.011832,            0.008383,            0.008383,            0.008383
                  51,            0.045515,            0.040454,             0.00999,             0.71338,              0.4509,             0.47748,             0.21016,            0.045329,            0.024569,           0.0094208,             0.00835,             0.00835,             0.00835
                  52,            0.045721,            0.040573,            0.010544,             0.80608,             0.40482,             0.43995,             0.19095,            0.046118,            0.028239,           0.0083825,            0.008317,            0.008317,            0.008317
                  53,            0.045813,            0.040403,           0.0098915,             0.45951,             0.42382,             0.41536,             0.15303,            0.049272,            0.026211,           0.0088587,            0.008284,            0.008284,            0.008284
                  54,            0.045582,            0.040272,            0.010439,             0.86136,             0.44257,             0.50828,             0.24634,            0.042066,            0.024844,           0.0078856,            0.008251,            0.008251,            0.008251
                  55,            0.046261,            0.040813,            0.010177,             0.52326,             0.51483,             0.50431,             0.24075,            0.040906,            0.025248,           0.0082744,            0.008218,            0.008218,            0.008218
                  56,             0.04555,            0.041148,           0.0096642,             0.75804,             0.43115,             0.44791,                0.18,            0.047457,            0.025931,           0.0084439,            0.008185,            0.008185,            0.008185
                  57,            0.045853,            0.040835,           0.0097968,             0.87497,             0.44581,             0.50215,             0.19937,            0.044996,            0.025092,           0.0080472,            0.008152,            0.008152,            0.008152
                  58,            0.045531,            0.040713,           0.0099728,             0.52638,             0.41451,              0.4069,             0.19075,            0.044643,            0.028928,           0.0090163,            0.008119,            0.008119,            0.008119
