               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030441,            0.026945,           0.0027815,             0.76774,             0.73148,             0.73072,             0.40872,            0.031839,            0.018048,           0.0053062,            0.008845,            0.008845,            0.008845
                  37,            0.030207,            0.027163,           0.0026637,             0.65257,              0.7449,             0.70791,             0.40453,            0.032214,             0.01864,            0.006246,            0.008812,            0.008812,            0.008812
                  38,            0.029639,            0.026421,           0.0026312,             0.73623,             0.72496,             0.71976,             0.40825,            0.031878,            0.018325,           0.0056319,            0.008779,            0.008779,            0.008779
                  39,            0.029491,            0.026075,           0.0025478,              0.8369,             0.66347,             0.73778,             0.41327,            0.032445,            0.019007,           0.0057675,            0.008746,            0.008746,            0.008746
                  40,            0.029849,            0.025951,           0.0027816,             0.74013,             0.64272,             0.69498,             0.39949,            0.031748,            0.018446,           0.0063065,            0.008713,            0.008713,            0.008713
                  41,            0.029632,            0.025661,             0.00274,               0.772,             0.68549,             0.72233,             0.37553,            0.034751,            0.018487,           0.0056535,             0.00868,             0.00868,             0.00868
                  42,            0.029803,             0.02512,           0.0025641,             0.70856,             0.69966,             0.70839,             0.40712,             0.03061,            0.017747,           0.0054045,            0.008647,            0.008647,            0.008647
                  43,             0.02911,            0.025659,           0.0024446,              0.7264,             0.70944,             0.71463,             0.38871,            0.032311,            0.018228,           0.0048227,            0.008614,            0.008614,            0.008614
                  44,            0.028812,             0.02536,           0.0022753,             0.66096,             0.77202,             0.72294,             0.40095,            0.031478,            0.017613,           0.0050965,            0.008581,            0.008581,            0.008581
                  45,            0.029366,            0.025838,           0.0024226,             0.88491,             0.68079,              0.7613,             0.42509,            0.031615,            0.018287,           0.0054641,            0.008548,            0.008548,            0.008548
                  46,            0.028654,            0.025343,           0.0022569,             0.82364,             0.67757,             0.73777,             0.41884,            0.032201,            0.018395,           0.0047744,            0.008515,            0.008515,            0.008515
                  47,             0.02866,            0.025774,           0.0022657,             0.76926,             0.66225,             0.71615,             0.43403,            0.029931,            0.018122,           0.0059616,            0.008482,            0.008482,            0.008482
                  48,            0.028317,            0.026227,           0.0021884,             0.78216,             0.64727,             0.69145,             0.37859,            0.031432,            0.018404,           0.0054662,            0.008449,            0.008449,            0.008449
                  49,            0.028571,            0.025384,           0.0020702,             0.72665,             0.74292,             0.73366,             0.44002,            0.030565,            0.017868,           0.0050754,            0.008416,            0.008416,            0.008416
                  50,            0.028061,            0.025091,           0.0020531,             0.72057,             0.68957,             0.71287,             0.42506,             0.03134,             0.01869,           0.0049003,            0.008383,            0.008383,            0.008383
                  51,            0.027998,            0.024979,           0.0021725,             0.82861,             0.65775,             0.70162,             0.39687,             0.03124,            0.018734,           0.0052389,             0.00835,             0.00835,             0.00835
                  52,            0.027875,            0.024842,           0.0021049,             0.77578,             0.67355,             0.72373,             0.41448,            0.031877,            0.018562,           0.0050673,            0.008317,            0.008317,            0.008317
                  53,            0.027575,               0.024,           0.0022817,             0.80277,             0.71021,             0.74749,             0.43664,            0.030385,            0.017448,            0.004868,            0.008284,            0.008284,            0.008284
                  54,            0.028083,            0.024331,           0.0019521,             0.90565,             0.63673,             0.70915,             0.41217,            0.030954,            0.018036,           0.0051468,            0.008251,            0.008251,            0.008251
                  55,            0.027552,            0.024788,           0.0020037,             0.73923,             0.73037,             0.73656,             0.43718,            0.030138,            0.018249,           0.0050084,            0.008218,            0.008218,            0.008218
                  56,            0.027395,            0.025267,           0.0019263,              0.8653,             0.68788,             0.74887,             0.41976,             0.03223,            0.018758,           0.0047035,            0.008185,            0.008185,            0.008185
                  57,            0.026977,            0.023893,           0.0019803,             0.77843,             0.68487,             0.71666,              0.4028,            0.033248,            0.019398,           0.0051798,            0.008152,            0.008152,            0.008152
                  58,            0.027438,            0.024441,           0.0018812,             0.78759,             0.67768,             0.73052,             0.43094,            0.030755,            0.018766,           0.0056894,            0.008119,            0.008119,            0.008119
                  59,            0.026953,            0.024089,           0.0019951,             0.89475,             0.67226,             0.76146,             0.43988,            0.031412,            0.018354,           0.0044361,            0.008086,            0.008086,            0.008086
                  60,            0.026754,            0.024435,           0.0019772,             0.69776,             0.64345,             0.68152,             0.38177,            0.031739,            0.019353,           0.0061987,            0.008053,            0.008053,            0.008053
                  61,            0.026873,            0.024083,            0.001871,             0.74183,             0.71093,             0.74338,             0.44554,            0.029824,            0.018376,           0.0052768,             0.00802,             0.00802,             0.00802
                  62,            0.026736,            0.023604,           0.0019549,              0.7017,             0.68698,               0.708,             0.40017,            0.032059,            0.018451,           0.0058324,            0.007987,            0.007987,            0.007987
                  63,            0.026503,            0.023861,           0.0018549,             0.83362,             0.64057,             0.71212,             0.41297,            0.031216,            0.018338,           0.0050128,            0.007954,            0.007954,            0.007954
                  64,            0.026943,            0.024275,           0.0018813,             0.80857,             0.62425,             0.69391,              0.4067,            0.032073,            0.019451,            0.005322,            0.007921,            0.007921,            0.007921
                  65,            0.026244,            0.022744,           0.0018058,             0.70666,             0.76741,             0.71804,             0.40651,            0.032402,            0.019651,           0.0043622,            0.007888,            0.007888,            0.007888
                  66,            0.026467,            0.023893,           0.0017888,             0.75917,             0.66537,             0.69789,             0.38686,            0.032507,            0.018997,           0.0044174,            0.007855,            0.007855,            0.007855
                  67,            0.026482,            0.023254,            0.001789,             0.72002,             0.79651,             0.74349,             0.45372,            0.030006,            0.018143,           0.0048435,            0.007822,            0.007822,            0.007822
                  68,            0.026523,            0.023891,           0.0019672,              0.8358,             0.68686,              0.7172,             0.41715,            0.030323,             0.01787,            0.005064,            0.007789,            0.007789,            0.007789
                  69,            0.026112,            0.023481,           0.0019593,             0.72802,             0.74178,             0.73588,             0.41886,            0.030296,            0.017849,             0.00505,            0.007756,            0.007756,            0.007756
                  70,            0.026377,            0.024223,           0.0018253,             0.72381,             0.72963,             0.70761,             0.39792,            0.031243,            0.018979,           0.0046715,            0.007723,            0.007723,            0.007723
                  71,            0.025796,            0.023107,           0.0016711,             0.81632,             0.62293,             0.69514,             0.40591,             0.03076,            0.018932,           0.0056662,             0.00769,             0.00769,             0.00769
                  72,            0.025792,            0.023497,           0.0017095,             0.89689,             0.60127,             0.68708,             0.39588,            0.030095,            0.018239,           0.0049342,            0.007657,            0.007657,            0.007657
                  73,            0.025884,            0.023315,           0.0017874,             0.70394,             0.70392,              0.7287,             0.44906,            0.029379,            0.018049,            0.005154,            0.007624,            0.007624,            0.007624
                  74,            0.026186,            0.023128,           0.0018445,             0.63685,             0.72001,             0.68482,             0.37986,            0.031955,             0.01844,           0.0045582,            0.007591,            0.007591,            0.007591
                  75,            0.025445,             0.02341,           0.0016584,             0.72565,             0.71675,             0.72976,             0.42255,            0.031212,            0.018103,           0.0050474,            0.007558,            0.007558,            0.007558
                  76,            0.025215,            0.022355,           0.0016137,             0.72465,             0.71594,             0.71142,             0.40035,             0.03202,            0.018667,           0.0050928,            0.007525,            0.007525,            0.007525
                  77,            0.025859,            0.023003,           0.0018743,             0.89221,             0.62763,             0.71061,             0.43041,            0.030207,            0.018449,           0.0052949,            0.007492,            0.007492,            0.007492
                  78,            0.025306,            0.022386,           0.0015792,             0.71381,              0.6761,             0.67718,             0.41199,            0.030831,              0.0195,            0.004536,            0.007459,            0.007459,            0.007459
                  79,            0.025681,            0.023168,           0.0016205,              0.8396,             0.68101,             0.73609,             0.42256,            0.029453,             0.01858,           0.0053585,            0.007426,            0.007426,            0.007426
                  80,             0.02496,            0.022651,           0.0015874,             0.71732,             0.67687,             0.69985,             0.42086,            0.029976,            0.018757,           0.0052336,            0.007393,            0.007393,            0.007393
                  81,            0.025379,            0.022562,           0.0016942,              0.7902,             0.65315,              0.6983,             0.41185,            0.031213,            0.018661,           0.0059989,             0.00736,             0.00736,             0.00736
                  82,            0.025183,            0.022899,           0.0015107,             0.79189,             0.70658,             0.73761,             0.44263,            0.030215,            0.018088,           0.0035142,            0.007327,            0.007327,            0.007327
                  83,             0.02525,            0.022243,           0.0017078,             0.71132,             0.70773,             0.69798,             0.39548,            0.031525,            0.018988,           0.0053179,            0.007294,            0.007294,            0.007294
                  84,             0.02474,            0.022145,            0.001639,              0.7826,              0.7071,             0.74753,             0.43977,            0.030481,            0.018865,           0.0042437,            0.007261,            0.007261,            0.007261
