               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026501,            0.024374,           0.0024386,             0.70255,             0.80166,             0.75172,             0.45554,            0.029591,             0.02005,            0.005347,            0.008845,            0.008845,            0.008845
                  37,            0.027222,            0.023632,           0.0024026,             0.77703,             0.76236,             0.76503,              0.4728,            0.028678,            0.019612,           0.0047685,            0.008812,            0.008812,            0.008812
                  38,            0.026672,            0.023361,           0.0022877,             0.80535,              0.7145,             0.75708,             0.45286,             0.02992,            0.019295,           0.0045661,            0.008779,            0.008779,            0.008779
                  39,            0.026764,            0.024012,           0.0022581,             0.68316,             0.77427,             0.74248,              0.4467,            0.029116,            0.019498,           0.0046428,            0.008746,            0.008746,            0.008746
                  40,            0.026153,               0.023,           0.0020766,             0.73207,             0.74972,             0.76128,             0.43562,            0.029778,            0.019943,           0.0044755,            0.008713,            0.008713,            0.008713
                  41,            0.025966,            0.023152,           0.0020727,             0.84791,             0.66855,             0.73888,             0.42182,            0.031078,            0.020177,           0.0055728,             0.00868,             0.00868,             0.00868
                  42,            0.025701,            0.023058,           0.0020787,             0.79839,             0.68988,             0.73275,             0.43886,            0.030232,            0.020513,           0.0053666,            0.008647,            0.008647,            0.008647
                  43,            0.025736,            0.022683,           0.0018894,             0.72948,             0.74044,             0.73499,              0.4449,             0.02902,            0.020101,           0.0055136,            0.008614,            0.008614,            0.008614
                  44,            0.025397,            0.023111,           0.0019278,             0.71004,             0.70987,             0.73313,             0.43196,            0.029215,            0.019981,           0.0054689,            0.008581,            0.008581,            0.008581
                  45,            0.025387,            0.022749,           0.0019675,             0.77581,             0.65845,             0.70452,             0.42606,            0.029548,            0.020425,           0.0065259,            0.008548,            0.008548,            0.008548
                  46,             0.02558,            0.022967,           0.0017983,             0.76534,             0.73038,             0.76871,             0.45609,            0.030068,             0.02096,           0.0044664,            0.008515,            0.008515,            0.008515
                  47,             0.02552,            0.023521,           0.0017575,             0.71747,              0.7735,             0.76983,             0.45504,            0.030525,            0.020346,           0.0044309,            0.008482,            0.008482,            0.008482
                  48,            0.024615,            0.022022,           0.0018286,             0.73072,             0.74283,             0.72461,             0.42348,            0.030116,            0.020333,           0.0056549,            0.008449,            0.008449,            0.008449
                  49,            0.025078,            0.022128,           0.0017129,             0.77969,             0.71363,              0.7642,             0.45071,            0.031254,            0.020899,           0.0053906,            0.008416,            0.008416,            0.008416
                  50,            0.024869,             0.02227,           0.0018112,             0.72197,             0.68631,             0.70656,             0.43062,            0.030717,            0.021899,           0.0066889,            0.008383,            0.008383,            0.008383
                  51,            0.024947,            0.022605,           0.0018031,             0.78588,             0.64526,             0.71795,             0.43956,            0.030494,            0.020565,           0.0054132,             0.00835,             0.00835,             0.00835
                  52,            0.024331,            0.021888,            0.001833,             0.81265,              0.7104,             0.75232,             0.42793,            0.032132,            0.020827,           0.0055035,            0.008317,            0.008317,            0.008317
                  53,            0.024511,            0.022322,           0.0018456,             0.76923,             0.71853,             0.74212,             0.45766,            0.029281,             0.01954,           0.0047385,            0.008284,            0.008284,            0.008284
                  54,             0.02484,            0.021979,           0.0018001,             0.73266,             0.67515,             0.73001,             0.44952,            0.028309,            0.020229,           0.0051707,            0.008251,            0.008251,            0.008251
                  55,            0.023808,            0.021418,           0.0016063,             0.77692,             0.70825,             0.74879,             0.44145,            0.030306,             0.02066,           0.0050285,            0.008218,            0.008218,            0.008218
                  56,            0.024249,            0.021904,           0.0016585,             0.74991,             0.69261,             0.72986,             0.41488,            0.031437,            0.021003,            0.004955,            0.008185,            0.008185,            0.008185
                  57,            0.023886,            0.021789,           0.0017182,             0.75906,             0.73527,             0.73898,             0.44527,            0.029108,            0.020919,           0.0047184,            0.008152,            0.008152,            0.008152
                  58,            0.023577,            0.021179,           0.0016346,             0.83361,             0.63386,              0.7181,             0.42067,            0.030756,             0.02174,           0.0058606,            0.008119,            0.008119,            0.008119
                  59,              0.0235,            0.021441,           0.0016585,             0.83946,             0.67629,              0.7479,             0.43534,            0.030545,             0.02108,           0.0053276,            0.008086,            0.008086,            0.008086
                  60,             0.02348,            0.021439,           0.0016138,             0.86611,             0.70481,             0.75322,             0.44419,            0.030675,            0.021527,           0.0047873,            0.008053,            0.008053,            0.008053
                  61,            0.023144,            0.021132,           0.0016894,             0.85395,             0.70456,             0.75992,             0.45204,            0.029641,            0.020939,           0.0050492,             0.00802,             0.00802,             0.00802
                  62,            0.023168,            0.021143,           0.0015762,             0.65318,             0.80331,             0.75557,             0.45666,            0.029644,            0.020925,           0.0052383,            0.007987,            0.007987,            0.007987
                  63,            0.023307,            0.021334,           0.0015245,             0.77727,             0.78776,             0.77735,             0.46763,            0.029577,            0.021301,           0.0043463,            0.007954,            0.007954,            0.007954
                  64,            0.023366,            0.021016,           0.0016572,             0.77064,             0.75031,             0.75541,             0.42146,            0.032949,            0.021557,            0.005151,            0.007921,            0.007921,            0.007921
                  65,            0.022915,            0.020756,           0.0014587,             0.82582,             0.77506,             0.80337,             0.50229,            0.028773,            0.020491,           0.0044852,            0.007888,            0.007888,            0.007888
                  66,            0.023147,            0.021091,           0.0016148,             0.79452,             0.70183,             0.75016,             0.44919,            0.029886,            0.021342,           0.0048614,            0.007855,            0.007855,            0.007855
                  67,              0.0229,            0.020779,           0.0015041,             0.90588,             0.63799,             0.74627,             0.46122,            0.029522,            0.021456,           0.0051532,            0.007822,            0.007822,            0.007822
                  68,            0.023151,             0.02113,            0.001571,             0.79428,              0.7173,             0.74173,             0.43603,            0.030486,            0.021883,           0.0045933,            0.007789,            0.007789,            0.007789
                  69,            0.022789,            0.020836,           0.0014816,             0.87447,             0.66608,             0.74057,             0.44287,            0.030399,            0.021375,           0.0051944,            0.007756,            0.007756,            0.007756
                  70,            0.022968,            0.021212,           0.0015141,             0.73035,             0.68976,             0.71368,             0.44325,             0.02956,            0.021348,           0.0054388,            0.007723,            0.007723,            0.007723
                  71,            0.022604,            0.020814,           0.0014917,             0.73061,             0.69455,             0.71865,             0.41682,            0.030539,            0.021257,           0.0053633,             0.00769,             0.00769,             0.00769
                  72,            0.022712,            0.020996,           0.0015117,             0.73282,             0.69861,              0.7169,             0.43375,             0.02987,            0.021133,           0.0056911,            0.007657,            0.007657,            0.007657
                  73,            0.022393,             0.02081,           0.0013723,             0.79912,             0.71416,             0.74317,             0.43837,            0.030893,            0.021499,           0.0053266,            0.007624,            0.007624,            0.007624
                  74,            0.022067,            0.020501,           0.0014213,             0.80923,             0.66569,              0.7007,             0.42933,            0.030129,            0.021215,           0.0059139,            0.007591,            0.007591,            0.007591
                  75,            0.022227,            0.020378,           0.0015084,             0.81307,             0.64507,             0.71046,             0.43541,            0.029645,            0.021565,           0.0058502,            0.007558,            0.007558,            0.007558
                  76,            0.021864,             0.02036,           0.0015509,             0.75546,             0.69171,             0.73201,             0.44524,            0.029735,            0.021192,            0.005322,            0.007525,            0.007525,            0.007525
                  77,            0.021899,            0.020066,           0.0015259,             0.78668,             0.68818,             0.71798,              0.4237,            0.029728,            0.021039,            0.005453,            0.007492,            0.007492,            0.007492
                  78,            0.021392,            0.019716,           0.0012691,              0.7728,             0.72554,             0.73607,             0.42766,            0.030651,            0.021492,           0.0052793,            0.007459,            0.007459,            0.007459
                  79,            0.021771,            0.019977,           0.0013622,             0.76662,             0.74537,             0.75485,              0.4562,            0.029941,            0.021715,           0.0055449,            0.007426,            0.007426,            0.007426
                  80,            0.021646,            0.019481,           0.0014164,             0.76304,             0.67844,             0.71205,              0.4317,            0.030502,            0.021761,            0.005366,            0.007393,            0.007393,            0.007393
                  81,            0.021782,            0.019667,           0.0013813,             0.59844,              0.7081,             0.67421,             0.39377,            0.031261,            0.021684,           0.0060403,             0.00736,             0.00736,             0.00736
                  82,            0.021793,             0.02059,            0.001269,              0.7658,             0.70182,             0.73647,             0.44332,            0.029375,            0.021447,           0.0054359,            0.007327,            0.007327,            0.007327
                  83,            0.021357,            0.019642,           0.0014388,             0.83045,             0.68346,             0.73758,             0.43837,            0.029707,            0.020874,           0.0054284,            0.007294,            0.007294,            0.007294
                  84,            0.021722,            0.019724,           0.0012992,             0.71672,             0.70828,             0.71866,             0.43793,            0.029254,            0.020794,           0.0058679,            0.007261,            0.007261,            0.007261
                  85,            0.021658,            0.019952,           0.0013428,             0.89815,             0.68143,              0.7366,             0.44694,            0.030143,            0.021095,           0.0054597,            0.007228,            0.007228,            0.007228
                  86,            0.021164,            0.019252,           0.0013199,             0.85705,             0.67015,             0.75173,             0.44866,            0.030452,             0.02103,           0.0047492,            0.007195,            0.007195,            0.007195
                  87,            0.021117,            0.018968,           0.0013256,              0.7337,             0.70419,             0.73089,             0.45421,            0.028958,            0.020819,           0.0048032,            0.007162,            0.007162,            0.007162
                  88,            0.021047,            0.019362,           0.0012989,             0.75908,             0.68508,             0.70966,             0.44162,            0.029494,            0.021379,            0.005716,            0.007129,            0.007129,            0.007129
