               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025971,            0.022013,           0.0021497,             0.79926,             0.65243,              0.6991,             0.42215,            0.030608,             0.01988,           0.0056846,            0.008845,            0.008845,            0.008845
                  37,            0.026041,            0.022054,           0.0022358,             0.90898,             0.66121,             0.71712,             0.39636,             0.03164,            0.020428,           0.0061185,            0.008812,            0.008812,            0.008812
                  38,            0.025769,            0.023549,           0.0022026,             0.85902,             0.69903,             0.76853,                0.43,            0.032686,            0.020117,           0.0049374,            0.008779,            0.008779,            0.008779
                  39,            0.025712,            0.021598,           0.0022456,             0.77439,             0.72667,             0.73904,             0.40968,            0.034352,            0.020293,           0.0049727,            0.008746,            0.008746,            0.008746
                  40,            0.026022,             0.02284,           0.0020687,             0.77774,             0.70976,             0.72676,             0.43668,            0.031625,            0.020243,            0.005318,            0.008713,            0.008713,            0.008713
                  41,            0.024821,            0.021184,           0.0019808,             0.80475,             0.69551,             0.72083,             0.41761,            0.033012,             0.02071,           0.0052967,             0.00868,             0.00868,             0.00868
                  42,            0.024667,            0.022696,           0.0019699,             0.87137,             0.71049,             0.74054,             0.44118,            0.029937,            0.020252,           0.0047413,            0.008647,            0.008647,            0.008647
                  43,            0.024673,            0.020999,           0.0019813,             0.79712,              0.7375,             0.72832,             0.40392,            0.033213,            0.020397,           0.0047909,            0.008614,            0.008614,            0.008614
                  44,            0.024394,            0.020853,           0.0020634,             0.74343,             0.75365,             0.73689,             0.44471,            0.031231,            0.019841,           0.0044129,            0.008581,            0.008581,            0.008581
                  45,            0.024334,            0.021642,           0.0019421,             0.83964,             0.73424,              0.7372,             0.44339,            0.030477,            0.020274,           0.0048311,            0.008548,            0.008548,            0.008548
                  46,            0.023752,            0.021071,           0.0019123,             0.84926,             0.70317,             0.73585,             0.44007,            0.031205,            0.019701,           0.0054285,            0.008515,            0.008515,            0.008515
                  47,            0.023909,            0.020723,           0.0019302,             0.85172,             0.73981,             0.76771,             0.45318,             0.03038,            0.020104,            0.004432,            0.008482,            0.008482,            0.008482
                  48,            0.023928,             0.02085,           0.0018722,             0.86888,             0.70883,             0.74859,             0.44111,             0.03066,            0.020047,           0.0042593,            0.008449,            0.008449,            0.008449
                  49,            0.024141,            0.021357,           0.0017578,             0.85054,              0.6832,             0.72772,             0.42955,            0.032333,            0.020831,           0.0046588,            0.008416,            0.008416,            0.008416
                  50,             0.02325,            0.020147,            0.001671,             0.90361,             0.64074,              0.7014,             0.40684,            0.033026,            0.021448,           0.0055664,            0.008383,            0.008383,            0.008383
                  51,            0.023828,            0.020522,           0.0019109,             0.80351,             0.73227,             0.75331,             0.44423,            0.030596,            0.020472,           0.0046981,             0.00835,             0.00835,             0.00835
                  52,            0.023681,            0.020579,           0.0018138,             0.87952,             0.66513,             0.74919,             0.44484,            0.031891,            0.021107,           0.0051863,            0.008317,            0.008317,            0.008317
                  53,            0.023442,            0.020204,           0.0017945,             0.90223,             0.70615,             0.75885,             0.46996,            0.030174,            0.020523,           0.0049961,            0.008284,            0.008284,            0.008284
                  54,            0.023152,            0.020158,           0.0017787,             0.83938,             0.68067,             0.75929,             0.46336,            0.030786,            0.020659,           0.0055225,            0.008251,            0.008251,            0.008251
                  55,            0.022757,            0.019905,           0.0017081,             0.88701,             0.67038,               0.731,              0.4292,            0.032312,            0.021151,           0.0052895,            0.008218,            0.008218,            0.008218
                  56,             0.02292,            0.020427,           0.0017456,             0.91078,             0.67516,             0.75059,             0.42407,             0.03392,            0.021543,           0.0051406,            0.008185,            0.008185,            0.008185
                  57,             0.02247,            0.019762,           0.0016336,             0.81665,             0.76166,             0.76773,             0.42984,             0.03352,            0.021724,           0.0048475,            0.008152,            0.008152,            0.008152
                  58,            0.022108,            0.019732,           0.0016515,             0.84865,             0.71554,              0.7322,             0.43402,            0.031935,            0.021561,           0.0053326,            0.008119,            0.008119,            0.008119
                  59,            0.022651,            0.020009,           0.0016038,             0.86863,              0.6984,             0.74331,             0.44451,            0.031197,            0.020936,           0.0053262,            0.008086,            0.008086,            0.008086
                  60,            0.021736,            0.019248,           0.0015968,             0.86262,             0.69573,             0.73823,             0.42677,            0.031557,             0.02115,           0.0047641,            0.008053,            0.008053,            0.008053
